"condition","aliases","notes"
"血压高","高血压|血压偏高|血压有点高|血压控制不好|收缩压高|舒张压高","三高四高类"
"血糖高","高血糖|血糖偏高|空腹血糖高|餐后血糖高|血糖控制不好","三高四高类"
"尿酸高","高尿酸|尿酸偏高|尿酸高了|高尿酸血症","三高四高类"
"血脂高","高血脂|血脂偏高|甘油三酯高|胆固醇高|低密度高","三高四高类"
"轻症患者","轻症|不严重|刚发现|轻微|指标有点高","程度"
"严重血糖高","血糖很高|严重糖尿病|糖尿病严重|血糖降不下来","程度"
"严重脂肪肝","脂肪肝严重|重度脂肪肝|中重度脂肪肝","程度"
"肥胖症","肥胖|太胖|体重超标|减肥|肚子大|脂肪多","代谢"
"严重高血压","血压很高|高血压严重|血压降不下来","程度"
"严重高血脂","血脂很高|高血脂严重|血脂降不下来","程度"
"严重高尿酸","尿酸很高|高尿酸严重|尿酸降不下来","程度"
"呼吸道疾病","呼吸道不舒服|咳嗽|嗓子不舒服|喉咙不舒服|咽喉不适|气管不好|支气管不好|感冒|流感|咽炎|支气管炎|肺气肿","呼吸系统"
"如有气不足","气不足|气短|气不够用|气虚|没气力|说话没劲|容易喘|呼吸没力","加味触发"
"消化道疾病","胃不舒服|胃不好|胃难受|胃部不适|消化道不舒服|消化不好|胃胀|胃痛|胃酸|反酸|烧心|肠胃不好|脾胃不好","消化系统"
"萎缩性胃炎","萎缩性胃炎|慢性萎缩性胃炎","消化系统"
"慢性肠炎","慢性肠炎|肠炎反复|肠道炎症|经常拉肚子","消化系统"
"肠化生","肠化生|胃肠化生|胃镜肠化","消化系统"
"便秘","便秘|大便干|大便干燥|排便困难|几天不上厕所|拉不出来","消化系统"
"肾结石","肾结石|尿结石|输尿管结石|结石","泌尿"
"肝病","肝不好|肝功能不好|肝功能异常|转氨酶高|肝炎|脂肪肝|肝硬化|肝损伤|护肝","肝胆"
"痛风","痛风|痛风发作|脚趾痛|尿酸痛|关节红肿痛","代谢"
"肺结节","肺结节|肺部结节|肺上有结节|肺小结节","呼吸系统"
"视力模糊","视力模糊|看东西模糊|眼睛模糊|看不清|眼花|视物模糊","眼部"
"视力模糊且有糖尿病史","糖尿病眼病|糖尿病视力模糊|血糖高眼睛模糊|糖尿病眼底病|糖尿病史|有糖尿病史|有糖尿病|糖尿病","眼部加味"
"妇科肿瘤","妇科肿瘤|子宫肌瘤|卵巢囊肿|妇科囊肿|妇科结节|盆腔包块","妇科"
"月经不调","月经不调|月经乱|经期不准|月经推迟|月经提前|经量异常","妇科"
"乳腺结节","乳腺结节|乳房结节|乳腺增生|乳房有结节","结节"
"甲状腺结节","甲状腺结节|甲状腺有结节|脖子结节","结节"
"亚急性甲状腺炎","亚急性甲状腺炎|亚甲炎|甲状腺炎","甲状腺"
"甲状腺弥漫性病变","甲状腺弥漫性病变|甲状腺弥漫改变|甲状腺弥漫病变","甲状腺"
"甲减","甲减|甲状腺功能减退|甲功低","甲状腺"
"失眠","失眠|睡不着|入睡困难|睡眠不好|多梦|易醒|睡眠浅","睡眠"
"如有脑供血不足","脑供血不足|头晕脑供血不足|脑缺血|脑供血不好","加味触发"
"抑郁症","抑郁症|抑郁|情绪低落|心情低落|不开心|没兴趣","情绪"
"学习能力差","学习能力差|注意力差|记忆力差|学不进去|孩子学习差|专注力差","神志"
"小孩发育迟缓","发育迟缓|孩子发育慢|长得慢|身高发育慢|小孩发育不好","儿童"
"儿童消化不良及消瘦","儿童消化不良|孩子消化不良|小孩消化不良|宝宝消化不良|儿童消化差又瘦|孩子消化差又瘦|小孩消化差又瘦|儿童吃了不吸收又瘦|孩子吃了不吸收又瘦|小孩吃了不吸收又瘦|儿童吃不胖|孩子吃不胖|小孩吃不胖|小朋友消化不良又瘦","儿童消化系统"
"饭后饱胀","饭后饱胀|饭后胀|饭后腹胀|饭后胃胀|餐后饱胀|餐后胀|吃完饭觉得很胀|吃完饭很胀|吃完饭胀|吃完饭胃胀|吃饭后胀|吃饭后胃胀","消化系统"
"食欲不振","食欲不振|没胃口|胃口不好|不想吃饭|吃不下饭|吃不下东西|食欲差|饭量小|看到饭不想吃","消化系统"
"贫血","贫血|血虚|气血不足|脸色苍白|头晕贫血|缺铁性贫血","气血"
"反复感冒","反复感冒|经常感冒|老感冒|抵抗力差|免疫力差|容易感冒","呼吸系统"
"疲劳乏力","疲劳乏力|容易疲劳|乏力|没劲|没力气|浑身没劲|总是累|体力差","气虚"
"功血(月经过多)","功血|月经过多|经量多|月经量大|崩漏|非经期出血","妇科"
"心肌缺血","心肌缺血|心脏缺血|胸闷心慌|冠心病缺血|心电图缺血","心血管"
"胆结石","胆结石|胆囊结石|胆石症","肝胆"
"胆囊炎","胆囊炎|胆囊发炎|胆不好|右上腹痛","肝胆"
"头发稀少","头发稀少|头发少|头发变少|发量少","毛发"
"掉发","掉发|脱发|掉头发|头发掉得多|斑秃","毛发"
"过敏性鼻炎","过敏性鼻炎|鼻炎|一过敏就打喷嚏|流鼻涕|鼻痒|鼻塞","呼吸系统"
"耳鸣","耳鸣|耳朵响|耳内响|嗡嗡响|听力下降伴耳鸣","耳部"
"反复口腔溃疡","反复口腔溃疡|口腔溃疡|经常口腔溃疡|嘴里长溃疡|口疮","口腔"
"容易上火","容易上火|上火|老上火|口干口苦|口舌生疮|嗓子上火|火气大","火热"
"胃火大","胃火大|胃火旺|口臭胃火|胃里有火|牙龈肿痛胃火","火热"
"肾火大","肾火大|肾火旺|腰酸上火|虚火","火热"
"腿脚不灵活","腿脚不灵活|腿脚不便|走路不稳|腿脚没劲|腿脚不利索|下肢无力","肢体"
"湿热","湿气重|有湿气|体内湿气重|湿气比较重|湿气重的人|身体湿气重|湿热体质|体内湿热|又湿又热|口苦口黏|舌苔黄腻|小便黄","湿气重强关联湿热"
